year,label,fishery,age_0,age_1,age_2,age_3,value
1992,abund,1,NA,NA,NA,NA,1602.803898
1993,abund,1,NA,NA,NA,NA,1325.969967
1994,abund,1,NA,NA,NA,NA,1449.22881
1995,abund,1,NA,NA,NA,NA,853.9003747
1996,abund,1,NA,NA,NA,NA,1402.376696
1997,abund,1,NA,NA,NA,NA,1391.297808
1998,abund,1,NA,NA,NA,NA,753.3395461
1999,abund,1,NA,NA,NA,NA,552.8875843
2000,abund,1,NA,NA,NA,NA,776.5377895
1991,abund,2,NA,NA,NA,NA,1200.55
1992,abund,2,NA,NA,NA,NA,1100
1993,abund,2,NA,NA,NA,NA,900
1994,abund,2,NA,NA,NA,NA,1000
1995,abund,2,NA,NA,NA,NA,600
1996,abund,2,NA,NA,NA,NA,700
1997,abund,2,NA,NA,NA,NA,800
1998,abund,2,NA,NA,NA,NA,700
1999,abund,2,NA,NA,NA,NA,600
2000,abund,2,NA,NA,NA,NA,700
1991,abund,3,NA,NA,NA,NA,1.42918919
1992,abund,3,NA,NA,NA,NA,1.45181395
1993,abund,3,NA,NA,NA,NA,1.30568373
1994,abund,3,NA,NA,NA,NA,1.11257
1995,abund,3,NA,NA,NA,NA,1.06637309
1996,abund,3,NA,NA,NA,NA,1.49743159
1997,abund,3,NA,NA,NA,NA,1.12964704
1998,abund,3,NA,NA,NA,NA,0.767521264
1999,abund,3,NA,NA,NA,NA,0.62466659
2000,abund,3,NA,NA,NA,NA,0.860990714
1991,abund,4,NA,NA,NA,NA,1.52918919
1992,abund,4,NA,NA,NA,NA,1.35181395
1993,abund,4,NA,NA,NA,NA,1.70568373
1994,abund,4,NA,NA,NA,NA,1.112571
1995,abund,4,NA,NA,NA,NA,1.06637309
1996,abund,4,NA,NA,NA,NA,1.29743159
1997,abund,4,NA,NA,NA,NA,0.82964704
1998,abund,4,NA,NA,NA,NA,1.067521264
1999,abund,4,NA,NA,NA,NA,0.82466659
2000,abund,4,NA,NA,NA,NA,1.060990714
1991,abund,5,NA,NA,NA,NA,1888.822675
1992,abund,5,NA,NA,NA,NA,1605.954237
1993,abund,5,NA,NA,NA,NA,1392.561657
1994,abund,5,NA,NA,NA,NA,1687.527624
1995,abund,5,NA,NA,NA,NA,1000.919915
1996,abund,5,NA,NA,NA,NA,1497.384805
1997,abund,5,NA,NA,NA,NA,1456.419877
1998,abund,5,NA,NA,NA,NA,856.6915698
1999,abund,5,NA,NA,NA,NA,1038.908864
2000,abund,5,NA,NA,NA,NA,890.8244353
1991,abund,6,NA,NA,NA,NA,1676.365753
1992,abund,6,NA,NA,NA,NA,1554.338761
1993,abund,6,NA,NA,NA,NA,1267.787659
1994,abund,6,NA,NA,NA,NA,1048.131268
1995,abund,6,NA,NA,NA,NA,516.6026884
1996,abund,6,NA,NA,NA,NA,1040.247162
1997,abund,6,NA,NA,NA,NA,1222.319546
1998,abund,6,NA,NA,NA,NA,720.3846515
1999,abund,6,NA,NA,NA,NA,504.8837941
2000,abund,6,NA,NA,NA,NA,442.2305584
