year,label,fishery,age_0,age_1,age_2,age_3,value
2005,abund,4,NA,NA,NA,NA,1.06637309
2006,abund,4,NA,NA,NA,NA,1.29743159
2007,abund,4,NA,NA,NA,NA,0.82964704
2008,abund,4,NA,NA,NA,NA,1.067521264
2009,abund,4,NA,NA,NA,NA,0.82466659
2010,abund,4,NA,NA,NA,NA,1.060990714
2001,abund,5,NA,NA,NA,NA,1888.822675
2002,abund,5,NA,NA,NA,NA,1605.954237
2003,abund,5,NA,NA,NA,NA,1392.561657
2004,abund,5,NA,NA,NA,NA,1687.527624
2005,abund,5,NA,NA,NA,NA,1000.919915
2006,abund,5,NA,NA,NA,NA,1497.384805
2007,abund,5,NA,NA,NA,NA,1456.419877
2008,abund,5,NA,NA,NA,NA,856.6915698
2009,abund,5,NA,NA,NA,NA,1038.908864
2010,abund,5,NA,NA,NA,NA,890.8244353
2001,abund,6,NA,NA,NA,NA,1676.365753
2002,abund,6,NA,NA,NA,NA,1554.338761
2003,abund,6,NA,NA,NA,NA,1267.787659
2004,abund,6,NA,NA,NA,NA,1048.131268
2005,abund,6,NA,NA,NA,NA,516.6026884
2006,abund,6,NA,NA,NA,NA,1040.247162
2007,abund,6,NA,NA,NA,NA,1222.319546
2008,abund,6,NA,NA,NA,NA,720.3846515
2009,abund,6,NA,NA,NA,NA,504.8837941
2010,abund,6,NA,NA,NA,NA,442.2305584
